date;year;month;dw;day;week_n;day_n;price;K_price;T;K_T;Kdw;Kyear;Kday;line_regr;sales
01.01.14;2014;1;4;1;1;1;126,9;0,718168247818076;-27;0,794008677862973;0,86;0,78;0,89;255,88;87,110569180231
02.01.14;2014;1;5;2;1;2;126,9;0,718168247818076;-25;0,809395111115528;1,12;0,8;0,88;255,783699888973;117,233120092445
03.01.14;2014;1;6;3;1;3;126,9;0,718168247818076;-20;0,849230554860864;1,13;0,79;0,79;255,694694721803;109,978085335166
04.01.14;2014;1;7;4;1;4;126,9;0,718168247818076;-21;0,841103824003717;1,05;0,8;0,88;255,610118849749;114,134202295364
05.01.14;2014;1;1;5;2;5;115,9;0,81291828113967;-24;0,817204141367842;0,99;0,78;0,96;255,528690981861;125,839837716846
06.01.14;2014;1;2;6;2;6;115,9;0,81291828113967;-21;0,841103824003717;0,98;0,81;0,99;255,449686953575;137,261317023761
07.01.14;2014;1;3;7;2;7;115,9;0,81291828113967;-20;0,849230554860864;0,83;0,81;1,1;255,372643242856;130,377506187177
08.01.14;2014;1;4;8;2;8;115,9;0,81291828113967;-27;0,794008677862973;0,88;0,78;1,08;255,297238865946;122,157261223966
09.01.14;2014;1;5;9;2;9;115,9;0,81291828113967;-23;0,82509141300583;1,18;0,77;1,17;255,223239059209;181,981720967753
10.01.14;2014;1;6;10;2;10;115,9;0,81291828113967;-20;0,849230554860864;1,09;0,78;1,21;255,150465058739;181,207152903836
11.01.14;2014;1;7;11;2;11;115,9;0,81291828113967;-28;0,786429745582339;1,05;0,78;1,19;255,078776456854;158,932242115452
12.01.14;2014;1;1;12;3;12;115,9;0,81291828113967;-24;0,817204141367842;0,98;0,81;1,14;255,008060224657;153,30181712019
13.01.14;2014;1;2;13;3;13;115,9;0,81291828113967;-22;0,833057709957103;0,94;0,8;1,06;254,93822353297;137,619710341389
14.01.14;2014;1;3;14;3;14;115,9;0,81291828113967;-20;0,849230554860864;0,87;0,8;1,05;254,869188864804;128,584427956171
15.01.14;2014;1;4;15;3;15;115,9;0,81291828113967;-22;0,833057709957103;0,83;0,77;0,93;254,800890575836;102,55921452777
16.01.14;2014;1;5;16;3;16;115,9;0,81291828113967;-23;0,82509141300583;1,17;0,77;0,91;254,733272405658;140,072413410582
17.01.14;2014;1;6;17;3;17;115,9;0,81291828113967;-28;0,786429745582339;1,13;0,77;0,83;254,666285633838;117,57785608559
18.01.14;2014;1;7;18;3;18;115,9;0,81291828113967;-26;0,801663546097805;1,06;0,78;0,81;254,599887685548;111,117566124959
