id,target
28709,2
28710,5
28711,0
28712,0
28713,2
28714,2
28715,2
28716,0
28717,0
28718,0
28719,0
28720,2
28721,2
28722,2
28723,5
28724,2
28725,2
28726,2
28727,5
28728,5
28729,5
28730,5
28731,5
28732,0
28733,5
28734,0
28735,0
28736,2
28737,0
28738,2
28739,2
28740,2
28741,0
28742,2
28743,0
28744,2
28745,5
28746,2
28747,2
28748,0
28749,2
28750,5
28751,2
28752,0
28753,2
28754,2
28755,5
28756,0
28757,2
28758,2
28759,5
28760,2
28761,2
28762,0
28763,5
28764,0
28765,2
28766,0
28767,5
28768,0
28769,5
28770,2
28771,0
28772,2
28773,2
28774,0
28775,5
28776,0
28777,2
28778,2
28779,2
28780,2
28781,2
28782,2
28783,0
28784,5
28785,5
28786,0
28787,0
28788,5
28789,0
28790,0
28791,2
28792,5
28793,5
28794,5
28795,2
28796,0
28797,2
28798,2
28799,2
28800,2
28801,0
28802,5
28803,0
28804,0
28805,2
28806,0
28807,2
28808,0
28809,2
28810,2
28811,0
28812,2
28813,5
28814,2
28815,5
28816,0
28817,5
28818,0
28819,2
28820,0
28821,2
28822,2
28823,5
28824,2
28825,2
28826,5
28827,2
28828,2
28829,5
28830,2
28831,0
28832,2
28833,2
28834,0
28835,2
28836,2
28837,2
28838,5
28839,2
28840,2
28841,0
28842,2
28843,0
28844,5
28845,2
28846,2
28847,2
28848,2
28849,5
28850,2
28851,0
28852,2
28853,5
28854,2
28855,0
28856,0
28857,5
28858,2
28859,0
28860,0
28861,2
28862,2
28863,5
28864,2
28865,2
28866,5
28867,2
28868,2
28869,2
28870,2
28871,2
28872,0
28873,2
28874,5
28875,5
28876,0
28877,5
28878,2
28879,2
28880,0
28881,5
28882,5
28883,5
28884,2
28885,0
28886,0
28887,5
28888,2
28889,2
28890,2
28891,5
28892,2
28893,5
28894,2
28895,0
28896,0
28897,0
28898,2
28899,0
28900,0
28901,5
28902,2
28903,5
28904,0
28905,2
28906,2
28907,2
28908,0
28909,0
28910,2
28911,2
28912,2
28913,2
28914,5
28915,2
28916,0
28917,2
28918,2
28919,5
28920,0
28921,0
28922,2
28923,0
28924,2
28925,2
28926,0
28927,5
28928,5
28929,2
28930,0
28931,5
28932,0
28933,2
28934,0
28935,5
28936,2
28937,2
28938,5
28939,0
28940,5
28941,2
28942,5
28943,0
28944,0
28945,0
28946,2
28947,0
28948,5
28949,2
28950,2
28951,0
28952,2
28953,2
28954,0
28955,5
28956,0
28957,0
28958,2
28959,2
28960,5
28961,2
28962,0
28963,5
28964,2
28965,2
28966,5
28967,0
28968,2
28969,5
28970,5
28971,2
28972,2
28973,0
28974,0
28975,0
28976,0
28977,0
28978,0
28979,5
28980,5
28981,2
28982,2
28983,2
28984,0
28985,0
28986,2
28987,2
28988,2
28989,2
28990,2
28991,5
28992,0
28993,2
28994,0
28995,5
28996,2
28997,2
28998,2
28999,5
29000,0
29001,2
29002,2
29003,0
29004,5
29005,0
29006,5
29007,0
29008,0
29009,5
29010,5
29011,2
29012,2
29013,0
29014,0
29015,2
29016,0
29017,0
29018,0
29019,2
29020,0
29021,5
29022,0
29023,0
29024,0
29025,5
29026,2
29027,2
29028,0
29029,2
29030,2
29031,0
29032,0
29033,0
29034,5
29035,5
29036,0
29037,0
29038,0
29039,2
29040,2
29041,2
29042,2
29043,0
29044,2
29045,2
